0#0#0,5,11
1#1#01,6,11
0#0#0,5,23
1#0#1,5,11
1#0#1,5,11
1#1#01,6,23
1#0#1,5,11
1#0#1,5,11
0#1#1,5,11
1#1#01,6,11
0#1#1,5,11
1#0#1,5,11
1#0#1,5,11
0#0#0,5,11
0#0#0,5,11
1#0#1,5,11
0#0#0,5,11
1#1#01,6,11
0#1#1,5,23
1#1#01,6,11
0#1#1,5,11
0#0#0,5,11
0#0#0,5,23
1#1#01,6,11
1#0#1,5,23
1#1#01,6,23
0#1#1,5,11
1#0#1,5,11
1#1#01,6,11
0#0#0,5,11
1#1#01,6,11
1#0#1,5,11
1#1#01,6,11
1#0#1,5,23
1#1#01,6,11
1#1#01,6,11
0#1#1,5,23
0#0#0,5,11
1#0#1,5,11
1#1#01,6,11
0#0#0,5,23
0#0#0,5,23
0#1#1,5,23
0#1#1,5,11
1#0#1,5,11
0#1#1,5,11
0#0#0,5,11
1#1#01,6,11
0#1#1,5,11
0#0#0,5,23
0#01#01,7,43
0#01#01,7,11
1#1#01,6,23
1#01#11,7,27
1#0#1,5,11
0#11#11,7,27
1#1#01,6,43
0#0#0,5,27
1#1#01,6,27
1#11#001,8,27
1#01#11,7,23
1#11#001,8,27
1#01#11,7,11
0#11#11,7,27
1#01#11,7,11
1#01#11,7,43
1#11#001,8,23
1#0#1,5,11
0#11#11,7,11
0#0#0,5,11
1#11#001,8,11
1#01#11,7,23
0#0#0,5,11
1#1#01,6,43
0#0#0,5,11
1#1#01,6,27
1#01#11,7,27
0#1#1,5,27
0#1#1,5,27
0#1#1,5,27
0#01#01,7,27
0#11#11,7,43
0#01#01,7,27
0#1#1,5,11
0#1#1,5,27
0#0#0,5,27
0#11#11,7,23
0#01#01,7,11
0#11#11,7,11
0#1#1,5,43
0#0#0,5,27
0#11#11,7,11
0#1#1,5,27
0#0#0,5,11
0#1#1,5,43
1#11#001,8,27
0#11#11,7,27
0#1#1,5,11
0#01#01,7,11
0#1#1,5,11
1#0#1,5,23
0#11#11,7,46
0#1#1,5,46
01#11#101,9,40
1#0#1,5,26
0#1#1,5,46
1#01#11,7,27
11#11#011,9,27
0#11#11,7,11
0#11#11,7,46
01#1#11,7,46
1#01#11,7,27
01#1#11,7,26
1#1#01,6,46
01#01#001,9,11
11#1#001,8,26
11#01#101,9,23
0#0#0,5,40
0#11#11,7,43
0#01#01,7,27
0#11#11,7,46
1#1#01,6,26
1#01#11,7,46
0#0#0,5,26
11#01#101,9,26
0#01#01,7,46
1#01#11,7,27
11#1#001,8,23
0#01#01,7,11
0#01#01,7,26
01#0#01,7,46
0#01#01,7,46
11#11#011,9,11
11#11#011,9,46
11#1#001,8,26
01#0#01,7,11
01#1#11,7,40
11#0#11,7,11
11#01#101,9,27
1#1#01,6,11
0#01#01,7,26
1#0#1,5,43
01#11#101,9,26
01#1#11,7,26
01#0#01,7,27
1#01#11,7,11
1#1#01,6,46
01#0#01,7,26
01#11#101,9,26
0#0#0,5,27
0#111#111,9,69
11#001#111,10,52
0#011#011,9,72
0#01#01,7,52
01#011#0001,11,11
01#001#011,10,46
0#101#101,9,49
0#0#0,5,72
11#0#11,7,72
01#1#11,7,72
0#11#11,7,43
1#101#011,9,40
11#1#001,8,72
0#111#111,9,49
01#11#101,9,52
0#0#0,5,72
11#11#011,9,46
1#1#01,6,26
1#0#1,5,49
0#001#001,9,43
11#011#1001,11,11
01#0#01,7,49
0#1#1,5,52
0#11#11,7,49
11#101#0001,11,49
1#1#01,6,11
0#001#001,9,49
01#0#01,7,43
01#111#1001,11,49
0#111#111,9,49
01#001#011,10,46
1#0#1,5,46
0#0#0,5,72
1#001#101,9,49
01#111#1001,11,11
0#011#011,9,72
0#11#11,7,46
11#111#0101,11,40
0#1#1,5,46
0#01#01,7,27
1#101#011,9,11
01#01#001,9,69
0#011#011,9,43
01#11#101,9,46
01#111#1001,11,27
01#1#11,7,40
1#0#1,5,72
01#0#01,7,49
0#01#01,7,11
01#001#011,10,11
1#11#001,8,49
0#111#111,9,27
11#101#0001,11,72
101#001#1001,12,52
11#111#0101,11,77
1#001#101,9,27
0#11#11,7,40
111#11#0101,11,45
0#011#011,9,72
001#001#0001,12,77
0#0#0,5,72
1#111#0001,10,45
1#011#111,9,72
11#01#101,9,61
1#101#011,9,49
1#11#001,8,26
011#111#1011,12,77
101#01#111,10,69
011#101#1101,12,11
001#101#1001,12,72
111#11#0101,11,77
001#001#0001,12,77
11#001#111,10,26
111#101#0011,12,77
011#111#1011,12,72
001#0#001,9,46
111#111#0111,12,77
01#11#101,9,45
001#0#001,9,52
011#011#0011,12,45
111#01#1001,11,49
111#01#1001,11,77
001#01#011,10,27
01#01#001,9,49
001#0#001,9,77
0#01#01,7,49
0#0#0,5,77
001#101#1001,12,72
1#111#0001,10,51
101#111#0011,12,26
101#101#0101,12,46
001#1#101,9,45
001#11#111,10,72
101#111#0011,12,49
1#001#101,9,49
111#111#0111,12,77
0#011#011,9,26
0#0#0,5,45
011#111#1011,12,46
0#1#1,5,49
111#111#0111,12,77
111#0101#10001,14,109
1#1101#0011,11,77
011#1#111,9,26
011#0011#01001,14,46
0#1111#1111,11,77
011#01#0001,11,49
011#01#0001,11,77
101#0101#1111,13,69
101#0011#10001,14,109
1#1111#00001,12,109
011#0011#01001,14,80
011#0001#0111,13,26
111#111#0111,12,77
001#1111#11001,14,109
11#101#0001,11,69
0#011#011,9,49
0#0111#0111,11,85
101#0111#11001,14,69
001#0101#0111,13,77
01#001#011,10,109
011#11#1001,11,77
1#1011#0111,11,46
01#0011#0111,12,104
