1,2
2,6
3,9
4,15
5,20
6,28
7,35
8,45
9,54
10,66
11,77
12,91
13,104
14,120
15,135
16,153
17,170
18,190
19,209
20,231
21,252
22,276
23,299
24,325
25,350
26,378
27,405
28,435
29,464
30,496
31,527
32,561
33,594
34,630
35,665
36,703
37,740
38,780
39,819
40,861
41,902
42,946
43,989
44,1035
45,1080
46,1128
47,1175
48,1225
49,1274
50,1326
51,1377
52,1431
53,1484
54,1540
55,1595
56,1653
57,1710
58,1770
59,1829
60,1891
61,1952
62,2016
63,2079
64,2145
65,2210
66,2278
67,2345
68,2415
69,2484
70,2556
71,2627
72,2701
73,2774
74,2850
75,2925
76,3003
77,3080
78,3160
79,3239
80,3321
81,3402
82,3486
83,3569
84,3655
85,3740
86,3828
87,3915
88,4005
89,4094
90,4186
91,4277
92,4371
93,4464
94,4560
95,4655
96,4753
97,4850
98,4950
99,5049
100,5151
